question_id,client_profile,wording,asset_id,family,opened_at,resolution_date,hindcast,provisional,indicative,timestamp,probability,availability
HC2Y-ORI-001,operator,"Will OFAC amend, revoke, or let lapse the general licence or specific licence under which Chevron operates Petropiar before 2025-03-31?",petropiar,F1,2024-09-11T00:00:00+00:00,2025-03-31,True,True,True,2024-09-11T00:00:00+00:00,0.3,stored_hindcast
HC2Y-ORI-001,operator,"Will OFAC amend, revoke, or let lapse the general licence or specific licence under which Chevron operates Petropiar before 2025-03-31?",petropiar,F1,2024-09-11T00:00:00+00:00,2025-03-31,True,True,True,2025-02-17T23:59:59+00:00,0.3,stored_hindcast
HC2Y-ORI-001,creditor,"Will OFAC amend, revoke, or let lapse the general licence or specific licence under which Chevron operates Petropiar before 2025-03-31?",petropiar,F1,2024-09-11T00:00:00+00:00,2025-03-31,True,True,True,2024-09-11T00:00:00+00:00,0.3,stored_hindcast
HC2Y-ORI-001,creditor,"Will OFAC amend, revoke, or let lapse the general licence or specific licence under which Chevron operates Petropiar before 2025-03-31?",petropiar,F1,2024-09-11T00:00:00+00:00,2025-03-31,True,True,True,2025-02-17T23:59:59+00:00,0.3,stored_hindcast
HC2Y-ORI-002,creditor,Will a change to the Petromonagas JV ownership or operating terms be published in the Gaceta Oficial or announced by PDVSA before 2025-09-30?,petromonagas,F1,2024-09-11T00:00:00+00:00,2025-09-30,True,True,True,2024-09-11T00:00:00+00:00,0.35000000000000003,stored_hindcast
HC2Y-ORI-003,operator,Will PDVSA announce a new foreign partner or operator for Petrocedeño before 2025-09-30?,petrocedeno,F1,2024-09-11T00:00:00+00:00,2025-09-30,True,True,True,2024-09-11T00:00:00+00:00,0.25,stored_hindcast
HC2Y-ORI-003,creditor,Will PDVSA announce a new foreign partner or operator for Petrocedeño before 2025-09-30?,petrocedeno,F1,2024-09-11T00:00:00+00:00,2025-09-30,True,True,True,2024-09-11T00:00:00+00:00,0.25,stored_hindcast
HC2Y-ORI-004,creditor,Will a new JV or service contract covering any Carabobo block be published in the Gaceta Oficial before 2026-03-31?,bloque_carabobo,F1,2024-09-11T00:00:00+00:00,2026-03-31,True,True,True,2024-09-11T00:00:00+00:00,0.4,stored_hindcast
HC2Y-ORI-004,creditor,Will a new JV or service contract covering any Carabobo block be published in the Gaceta Oficial before 2026-03-31?,bloque_carabobo,F1,2024-09-11T00:00:00+00:00,2026-03-31,True,True,True,2026-01-20T23:59:59+00:00,0.4606376850598202,stored_hindcast
HC2Y-ORI-005,creditor,Will a US court order or arbitration award be entered that names cargoes or receivables from the José terminal before 2025-09-30?,jose_terminal,F1,2024-09-11T00:00:00+00:00,2025-09-30,True,True,True,2024-09-11T00:00:00+00:00,0.2,stored_hindcast
